feature,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
state_cpi,DeepLIFTSHAP,10.308229,FOODS,-7.5871983,-6.75E-07,10.475313
consumer_sentiment,DeepLIFTSHAP,7.703477,FOODS,10.192429,9.07E-07,12.619379
state_gas_price,DeepLIFTSHAP,6.713766,FOODS,-10.7327385,-9.55E-07,8.500506
state_snap,DeepLIFTSHAP,6.3540115,FOODS,70.19811,6.25E-06,2.7423043
month,DeepLIFTSHAP,6.0005918,FOODS,-10.548496,-9.39E-07,5.804446
day_of_month,DeepLIFTSHAP,5.1398344,FOODS,43.75716,3.89E-06,4.151468
event_type_1,DeepLIFTSHAP,1.3727967,FOODS,3.5396154,3.15E-07,1.5527765
event_name_1,DeepLIFTSHAP,1.0275946,FOODS,2.0704873,1.84E-07,1.3505448
sell_price,DeepLIFTSHAP,0.7417723,FOODS,2.33001,2.07E-07,0.61394083
state_gas_wow_delta,DeepLIFTSHAP,0.014397065,FOODS,-0.07121971,-6.34E-09,0.17804949
state_ur_mom_delta,DeepLIFTSHAP,0,FOODS,0,0,0
state_cpi_mom_delta,DeepLIFTSHAP,0,FOODS,0,0,0
event_type_2,DeepLIFTSHAP,0,FOODS,0,0,0
event_name_2,DeepLIFTSHAP,0,FOODS,0,0,0
item_category,DeepLIFTSHAP,0,FOODS,0,0,0
day_of_week,DeepLIFTSHAP,30.207363,HOBBIES,-6.32647,-5.29E-07,17.272749
state_ur,DeepLIFTSHAP,24.695679,HOBBIES,1.6938217,1.42E-07,30.1195
state_cpi,DeepLIFTSHAP,10.168793,HOBBIES,-7.7669725,-6.49E-07,10.028667
consumer_sentiment,DeepLIFTSHAP,7.851801,HOBBIES,8.991263,7.52E-07,11.979536
state_gas_price,DeepLIFTSHAP,6.5506725,HOBBIES,-8.097407,-6.77E-07,8.229016
month,DeepLIFTSHAP,6.092705,HOBBIES,-9.795961,-8.19E-07,5.7214985
state_snap,DeepLIFTSHAP,5.2903028,HOBBIES,66.79376,5.58E-06,2.5071883
day_of_month,DeepLIFTSHAP,5.139299,HOBBIES,47.122944,3.94E-06,4.0306387
sell_price,DeepLIFTSHAP,1.5054598,HOBBIES,1.9492415,1.63E-07,1.2507647
event_type_1,DeepLIFTSHAP,1.4303043,HOBBIES,4.5912986,3.84E-07,1.3660097
event_name_1,DeepLIFTSHAP,0.77246463,HOBBIES,2.155868,1.80E-07,0.9518266
